question,options,answer,subject,topic tag,year
"With reference to the Government of India Act of 1935, consider the following statements: [Modern India]

 1. It provided for the establishment of an All-India Federation based on the union of the British Indian Provinces and Princely States.

 2. Defence and Foreign Affairs were kept under the control of the Federal legislature.

 Which of the statements given above is/are correct?","A. 1 only
B. 2 only
C. Both 1 and 2
D. Neither 1 nor 2",A,History,History -> Buddhist Monks & Canonical Commentaries,2024
Which one of the following is a work attributed to playwright Bhasa? [Art & Culture ],"A. Kavyalankara
B. Natyashastra
C. Madhyama-vyayoga
D. Mahabhashya",C,Indian Polity,Indian Polity -> Delimitation Commission & Electoral Boundaries,2024
"Sanghabhuti, an Indian Buddhist monk who travelled to China at the end of the fourth century AD, was the author of a commentary on: [Art & Culture ]","A. Prajnaparamita Sutra
B. Visuddhimagga
C. Sarvastivada Vinaya
D. Lalitavistara",C,Indian Polity,Indian Polity -> Eighth Schedule & Official Languages,2024
"Consider the following properties included in the World Heritage List released by UNESCO:

 1. Shantiniketan

 2. Rani-ki-Vav

 3. Sacred Ensembles of the Hoysalas

 4. Mahabodhi Temple Complex at Bodhgaya

 How many of the above properties were included in 2023?","A. Only one
B. Only two
C. Only three
D. All four",B,History,History -> Post-Independence Political Parties & Leaders,2024
"As per Article 368 of the Constitution of India, the Parliament may amend any provision of the Constitution by way of:

 1. Addition

 2. Variation

 3. Repeal

 Select the correct answer using the code given below:","A. 1 and 2 only
B. 2 and 3 only
C. 1 and 3 only
D. 1, 2 and 3",D,Indian Polity,Indian Polity -> Structure of the Constitution & Parts,2024
"Consider the following countries:

 1. Italy

 2. Japan

 3. Nigeria

 4. South Korea

 5. South Africa

 Which of the above countries are frequently mentioned in the media for their low birth rates, or ageing population or declining population?","A. 1, 2 and 4
B. 1, 3 and 5
C. 2 and 4 only
D. 3 and 5 only",A,Indian Polity,Indian Polity -> Seventh Schedule & Legislative Lists,2024
"Which of the following statements are correct in respect of a Money Bill in the Parliament?

 1. Article 109 mentions a special procedure in respect of Money Bills.

 2. A Money Bill shall not be introduced in the Council of States.

 3. The Rajya Sabha can either approve the Bill or suggest changes but cannot reject it.

 4. Amendments to a Money Bill suggested by the Rajya Sabha have to be accepted by the Lok Sabha.

 Select the answer using the code given below:","A. 1 and 2 only
B. 2 and 3 only
C. 1, 2 and 3
D. 1, 3 and 4",C,Indian Polity,Indian Polity -> Fundamental Rights & Right to Privacy,2024
"Which of the following is/are correctly matched in terms of equivalent rank in the three services of Indian Defence forces?

 Army Airforce Navy 1. Brigadier Air Commodore Commander 2. Major General Air Vice Marshal Vice Admiral 3. Major Squadron Leader Lieutenant Commander 4. Lieutenant Colonel Group Captain Captain

 Select the correct answer using the code given below:","A. 1 and 4
B. 1 and 3
C. 2, 3 and 4
D. 3 only",D,Indian Polity,Indian Polity -> Parliament & Lok Sabha Speaker,2024
"The North Eastern Council (NEC) was established by the North Eastern Council Act 1971. Subsequent to the amendment of the NEC Act in 2002, the Council comprises which of the following members?

 1. Governor of the Constituent State

 2. Chief Minister of the Constituent State

 3. Three Members to be nominated by the President of India

 4. The Home Minister of India

 Select the correct answer using the code given below:","A. 1, 2 and 3 only
B. 1, 3 and 4 only
C. 2 and 4 only
D. 1, 2, 3 and 4",A,Indian Polity,Indian Polity -> Parliamentary Committees & Ethics Committee,2024
How many Delimitation Commissions have been constituted by the Government of India till December 2023?,"A. One
B. Two
C. Three
D. Four",D,Indian Polity,Indian Polity -> Legislative Procedures & Money Bills,2024
"The Constitution (71st Amendment) Act, 1992, amends the Eighth Schedule to the Constitution to include which of the following languages?

 1. Konkani

 2. Manipuri

 3. Nepali

 4. Maithili

 Select the correct answer using the code given below:","A. 1, 2 and 3
B. 1, 2 and 4
C. 1, 3 and 4
D. 2, 3 and 4",A,Indian Polity,Indian Polity -> Constitutional Amendment (Article 368),2024
"Consider the following pairs: [Modern India]

 Party Its Leader 1. Bharatiya Jana Sangh Dr.Shyama Prasad Mukherjee 2. Socialist Party C. Rajagopalachari 3. Congress for Democracy Jagjivan Ram 4. Swatantra Party Acharya Narendra Dev

 How many of the above are correctly matched?","A. Only one
B. Only two
C. Only three
D. All four",B,History,History -> Constituent Assembly & Making of the Constitution,2024
"Which of the following statements are correct about the Constitution of India?

 1. Powers of the Municipalities are given in Part IX A of the Constitution.

 2. Emergency provisions are given in Part XVIII of the Constitution.

 3. Provisions related to the amendment of the Constitution are given in Part XX of the Constitution.

 Select the answer using the code given below:","A. 1 and 2 only
B. 2 and 3 only
C. 1 and 3 only
D. 1, 2 and 3",D,History,History -> Constitutional Milestones & GoI Act 1935,2024
Which one of the following statements is correct as per the Constitution of India?,"A. Interstate trade and commerce is a State subject under the State List.
B. Interstate migration is a State subject under the State List.
C. Inter-State quarantine is a Union subject under the Union List.
D. Corporation tax is a State subject under the State List.",C,Indian Polity,Indian Polity -> Women's Reservation & Constitutional Amendments,2024
Under which of the following Articles of the Constitution of India has the Supreme Court of India placed the Right to Privacy?,"A. Article 15
B. Article 16
C. Article 19
D. Article 21",D,Indian Polity,Indian Polity -> Constitutional Remedies & Writs,2024
"What are the duties of the Chief of Defence Staff (CDS) as Head of the Department of Military Affairs?

 1. Permanent Chairman of Chiefs of Staff Committee

 2. Exercise military command over the three Service Chiefs

 3. Principal Military Advisor to Defence Minister on all tri-service matters

 Select the correct answer using the code given below:","A. 1, 2 and 3
B. 1 and 2 only
C. 2 and 3 only
D. 1 and 3 only",D,Indian Polity,Indian Polity -> Defence Governance & Chief of Defence Staff,2024
Operation undertaken by the Army towards the upliftment of the local population in remote areas to include addressing of their basic needs is called:,"A. Operation Sankalp
B. Operation Maitri
C. Operation Sadbhavana
D. Operation Madad",C,Current Affairs,Current Affairs -> Defence Operations & Civic Action,2024
The longest border between any two countries in the world is between:,"A. Canada and the United States of America
B. Chile and Argentina
C. China and India
D. Kazakhstan and Russian Federation",A,Geography,Geography -> Global Political Boundaries & Borders,2024
"Which of the following statements about the Ethics Committee in the Lok Sabha are correct?

 1. Initially, it was an ad-hoc Committee.

 2. Only a Member of the Lok Sabha can make a complaint relating to the unethical conduct of a member of the Lok Sabha.

 3. This Committee cannot take up any matter which is sub-judice.

 Select the answer using the code given below:","A. 1 and 2 only
B. 2 and 3 only
C. 1 and 3 only
D. 1, 2 and 3",C,Current Affairs,Current Affairs -> Defence Forces & Rank Hierarchy,2024
"Consider the following statements regarding 'Nari Shakti Vandan Adhiniyam':

 1. Provisions will come into effect from the 18th Lok Sabha.

 2. This will be in force for 15 years after becoming an Act.

 3. There are provisions for the reservation of seats for Scheduled Castes Women within the quota reserved for the Scheduled Castes.

 Which of the statements given above are correct?","A. 1, 2 and 3
B. 1 and 2 only
C. 2 and 3 only
D. 1 and 3 only",C,Indian Polity,Indian Polity -> Regional Governance & North Eastern Council,2024
"Which of the following statements about 'Exercise Mitra Shakti-2023' are correct?

 1. This was a joint military exercise between India and Bangladesh.

 2. It commenced in Aundh (Pune).

 3. Joint response during counter-terrorism operations was a goal of this operation.

 4. Indian Air Force was a part of this exercise.

 Select the answer using the code given below:","A. 1, 2 and 3
B. 1, 2 and 4
C. 1, 3 and 4
D. 2, 3 and 4",D,Current Affairs,Current Affairs -> Joint Military Exercises & Bilateral Defence,2024
A Writ of Prohibition is an order issued by the Supreme Court or High Courts to:,"A. A government officer prohibiting him from taking a particular action.
B. The Parliament/Legislative Assembly to pass a law on Prohibition.
C. The lower court prohibiting the continuation of proceedings in a case.
D. The Government is prohibiting it from following an unconstitutional policy.",C,Current Affairs,"Current Affairs -> Books, Authors & Foreign Policy",2024
"Consider the following statements:

 1. It is the Governor of the State who recognises and declares any community of that State as a Scheduled Tribe.

 2. A community declared as a Scheduled Tribe in a State need not be so in another State.

 Which of the statements given above is/are correct?","A. 1 only
B. 2 only
C. Both 1 and 2
D. Neither 1 nor 2",B,International Relations,International Relations -> International Geopolitics & Places in News,2024
"With reference to the Union Budget, consider the following statements:

 1. The Union Finance Minister on behalf of the Prime Minister lays the Annual Financial Statement before both the Houses of Parliament.

 2. At the Union level, no demand for a grant can be made except on the recommendation of the President of India.

 Which of the statements given above is/are correct?","A. 1 only
B. 2 only
C. Both 1 and 2
D. Neither 1 nor 2",C,Society,Society -> Governance Schemes & Digital Land Records,2024
"Who of the following is the author of the books ""The India Way"" and ""Why Bharat Matters""?","A. Bhupender Yadav
B. Nalin Mehta
C. Shashi Tharoor
D. Subrahmanyam Jaishankar",D,Society,Society -> Maternal Health Schemes & PMSMA,2024
"Consider the following pairs:

 Country Reason for being in the news 1. Argentina Worst economic crisis 2. Sudan War between the country's regular army and paramilitary forces 3. Turkey Rescinded its membership of NATO

 How many of the pairs given above are correctly matched?","A. Only one pair
B. Only two pairs
C. All three pairs
D. None of the pairs",B,Society,Society -> Social Security & Unorganised Workers,2024
"Consider the following statements:

 Statement-I : Sumed pipeline is a strategic route for Persian Gulf oil and natural gas shipments to Europe.

 Statement-II : Sumed pipeline connects the Red Sea with the Mediterranean Sea.

 Which one of the following is correct m respect of the above statements?","A. Both Statement and Statement-II are correct and Statement-Il explains Statement-I
B. Both Statement-I and Statement-II are correct, but Statement-II does not explain Statement-I
C. Statement-I is correct, but Statement-II is incorrect
D. Statement-I is incorrect, but Statement-II is correct",A,International Relations,International Relations -> Sustainable Agriculture & Global Initiatives,2024
"Consider the following statements:

 1. The Red Sea receives very little precipitation in any form.

 2. No water enters the Red Sea from rivers.

 Which of the statements given above is/are correct?","A. 1 only
B. 2 only
C. Both 1 and 2
D. Neither 1 nor 2",C,International Relations,International Relations -> Global Non-Profit Organisations & Sanitation,2024
"According to the Environmental Protection Agency (EPA), which one of the following is the largest source of sulphur dioxide emissions?","A. Locomotives using fossil fuels
B. Ships using fossil fuels
C. Extraction of metals from ores
D. Power plants using fossil fuels",D,Environment & Ecology,Environment & Ecology -> Air Pollution & Sulfur Dioxide Emissions,2024
"Consider the following statements:

 Statement-I: There is instability and worsening security situation in the Sahel region.

 Statenient-II: There have been military takeovers/coups d'etat in several countries of the Sahel region in the recent past.

 Which one of the following is correct in respect of the above statements?","A. Both Statement-I and Statement-II are correct and Statement-II explains Statement-I
B. Both Statement-I and Statement-II are correct, but Statement-II does not explain Statement-I
C. Statement-I is correct, but Statement-II is incorrect
D. Statement-I is incorrect, but Statement-II is correct",A,Environment & Ecology,Environment & Ecology -> Entomology & Insect Classification,2024
"Consider the following statements:

 Statement I: India does not import apples from the United States of America.

 Statement II: In India, the law prohibits the import of Genetically Modified food without the approval of the competent authority.

 Which one of the following is correct in respect of the above statements?","A. Both Statement-I and Statement-II are correct and Statement-II explains Statement-I
B. Both Statement-I and Statement-II are correct, but Statement-II does not explain Statement-I
C. Statement-I is correct, but Statement-II is incorrect
D. Statement-I is incorrect, but Statement-II is correct",D,Environment & Ecology,Environment & Ecology -> Evolutionary Ecology & Coevolution,2024
"With reference to the Speaker of the Lok Sabha, consider the following statements:

 While any resolution for the removal of the Speaker of the Lok Sabha is under consideration:

 1. He/she shall not preside.

 2. He/she shall not have the right to speak.

 3. He/she shall not be entitled to vote on the resolution in the first instance.

 Which of the statements given above is/are correct?","A. 1 only
B. 1 and 2 only
C. 2 and 3 only
D. 1, 2 and 3",A,Environment & Ecology,Environment & Ecology -> Mammalian Fauna & Conservation Status,2024
"With reference to the Indian Parliament, consider the following statements:

 1. A bill pending in the Lok Sabha lapses on its dissolution.

 2. A bill passed by the Lok Sabha and pending in the Rajya Sabha lapses on the dissolution of the Lok Sabha.

 3. A bill in regard to which the President of India notified his/her intention to summon the Houses to a joint sitting lapse on the dissolution of the Lok Sabha.

 Which of the statements given above is/are correct?","A. 1 only
B. 1 and 2
C. 2 and 3
D. 3 only",B,Environment & Ecology,Environment & Ecology -> Herpetology & Indian Reptiles,2024
"With reference to the Parliament of India, consider the following statements:

 1. Prorogation of a House by the President of India does not require the advice of the Council of Ministers.

 2. Prorogation of a House is generally done after the House is adjourned sine die but there is no bar to the President of India prorogating the House which is in session.

 3. Dissolution of the Lok Sabha is done by the President of India, who, save in exceptional circumstances, does so on the advice of the Council of Ministers.

 Which of the statements given above is/are correct?","A. 1 only
B. 1 and 2
C. 2 and 3
D. 3 only",C,Environment & Ecology,Environment & Ecology -> Plant Interactions & Parasitism,2024
"Consider the following statements:

 Statement-I: The European Parliament approved the Net-Zero Industry Act recently.

 Statement-II: The European Union intends to achieve carbon neutrality by 2040 and therefore aims to develop all of its own clean technology by that time.

 Which one of the following is correct in respect of the above statements?","A. Both Statement-I and Statement-II are correct and Statement-II explains Statement-I
B. Both Statement-I and Statement-II are correct, but Statement-II does not explain Statement-I ·
C. Statement-I is correct, but Statement-II is incorrect
D. Statement-I is incorrect, but Statement-II is correct",C,Environment & Ecology,Environment & Ecology -> Invasive Alien Species & Biodiversity Threats,2024
"Consider the following statements:

 Statement-I: Recently, Venezuela has achieved a rapid recovery from its economic crisis and succeeded in preventing its people from fleeing/emigrating to other countries

 Statement II: Venezuela has the world's largest oil reserves.

 Which one of the following is correct in respect of the above statements?","A. Both Statement-I and Statement-II are correct and Statement-II explains Statement-I
B. Both Statement-I and Statement-II are correct, but Statement-II does not explain Statement-I
C. Statement-I is correct, but Statement-II is incorrect
D. Statement-I is incorrect, but Statement-II is correct",D,Geography,Geography -> Soil Science & Nitrogen-Fixing Flora,2024
"With reference to the Digital India Land Records Modernisation Programme, consider the following statements:

 1. To implement the scheme, the Central Government provides 100% funding.

 2. Under the Scheme, Cadastral Maps are digitised.

 3. An initiative has been undertaken to transliterate the Records of Rights from the local language to any of the languages recognized by the Constitution of India.

 Which of the statements given above are correct?","A. 1 and 2 only
B. 2 and 3 only
C. 1 and 3 only
D. 1, 2 and 3",D,Environment & Ecology,Environment & Ecology -> Man and Biosphere (MAB) & Biosphere Reserves,2024
"With reference to the 'Pradhan Mantri Surakshit Matritva Abhiyan', consider the following statements:

 1. This scheme guarantees a minimum package of antenatal care services to women in their second and third trimesters of pregnancy and six months post-delivery health care service in any government health facility.

 2. Under this scheme, private sector healthcare providers of certain specialities can volunteer to provide services at nearby government health facilities.

 Which of the statements given above is/are correct.?","A. 1 only
B. 2 only
C. Both 1 and 2
D. Neither 1 nor 2",B,Environment & Ecology,Environment & Ecology -> Wetland Ecology & Blue Carbon,2024
"With reference to the Pradhan Mantri Shram Yogi Maan-dhan (PM-SYM) Yojana, consider the following statements:

 1. The entry age group for enrolment in the scheme is 21 to 40 years.

 2. Age specific contribution shall be made by the beneficiary.

 3. Each subscriber under the scheme shall receive a minimum pension of ₹ 3,000 per month after attaining the age of 60 years.

 4. Family pension is applicable to the spouse and unmarried daughters.

 Which of the statements given above is/are correct?","A. 1, 3 and 4
B. 2 and 3 only
C. 2 only
D. 1, 2 and 4",B,Environment & Ecology,Environment & Ecology -> Climate Mitigation & Carbon Sequestration,2024
"Consider the following statements :

 Jhelum River passes through Wular Lake. Krishna River directly feeds Kolleru Lake. Meandering of Gandak River formed Kanwar Lake.

 How many of the statements given above are correct?","A. Only one
B. Only two
C. All three
D. None",A,Geography,"Geography -> Drainage Systems & Freshwater Lakes (Wular, Kolleru, Kanwar)",2023
"Consider the following pairs:

 Port - Well known as

 Kamarajar Port - First major port in India registered as a company Mundra Port - Largest privately owned port in India Visakhapatnam Port - Largest container port in India

 How many of the above pairs are correctly matched?","A. Only one pair
B. Only two pairs
C. All three pairs
D. None of the pairs",B,Economy,Economy -> Major Ports & Infrastructure in India,2023
"Consider the following trees:

 Jackfruit (Artocarpus heterophyllus) Mahua (Madhuca indica) Teak (Tectona grandis)

 How many of the above are deciduous trees?","A. Only one
B. Only two
C. All three
D. None",B,Geography,Geography -> Natural Vegetation & Deciduous / Evergreen Forest Trees,2023
"Consider the following statements

 India has more arable area than China. The proportion of irrigated area is more in India as compared to China. The average productivity per hectare in Indian agriculture is higher than that in China.

 How many of the above statements are correct?","A. Only one
B. Only two
C. All three
D. None",B,Geography,Geography -> Agricultural Geography & Arable Land Comparison (India vs China),2023
"Which one of the following is the best example of repeated falls in sea level, giving rise to present-day extensive marshland?","A. Bhitarkanika Mangroves
B. Marakkanam Salt Pans
C. Naupada Swamp
D. Rann of Kutch",D,Geography,Geography -> Coastal Geomorphology & Marshes (Rann of Kutch),2023
"Ilmenite and rutile, abundantly available in certain coastal tracts of India, are rich sources of which one of the following?","A. Aluminium
B. Copper
C. Iron
D. Titanium",D,Geography,"Geography -> Mineral Resources & Heavy Mineral Beach Sands (Ilmenite, Rutile)",2023
"About three-fourths of world's cobalt, a metal required for the manufacture of batteries for electric motor vehicles, is produced by","A. Argentina
B. Botswana
C. the Democratic Republic of the Congo
D. Kazakhstan",C,Geography,Geography -> Global Mineral Resources & Critical Minerals (Cobalt / DRC),2023
Which one of the following is a part of the Congo Basin?,"A. Cameroon
B. Nigeria
C. South Sudan
D. Uganda",A,Geography,Geography -> World Regional Geography & River Basins (Congo Basin),2023
"Consider the following statements:

 Amarkantak Hills are at the confluence of Vindhya and Sahyadri Ranges. Biligirirangan Hills constitute the easternmost part of Satpura Range. Seshachalam Hills constitute the southernmost part of Western Ghats.

 How many of the statements given above are correct?","A. Only one
B. Only two
C. All three
D. None",D,Geography,"Geography -> Indian Physical Geography & Mountain Ranges (Amarkantak, BR Hills)",2023
"With reference to India's projects on connectivity, consider the following statements:

 East-West Corridor under Golden Quadrilateral Project Dibrugarh and Surat. connects Trilateral Highway connects Moreh in Manipur and Chiang Mai in Thailand via Myanmar. Bangladesh-China-India-Myanmar Economic Corridor connects Varanasi in Uttar Pradesh with Kunming in China.

 How many of the above statements are correct?","A. Only one
B. Only two
C. All three
D. None",D,International Relations,"International Relations -> Regional Connectivity Projects (IMT Trilateral Highway, BCIM)",2023
"Consider the following statements

 Statement-I:

 India, despite having uranium deposits, depends on coal for most of its electricity production.

 Statement-II:

 Uranium, enriched to the extent of at least 60%, is required for the production of electricity.

 Which one of the following is correct in respect of the above statements?","A. Both Statement-I and Statement-II are correct and Statement-II is the correct explanation for Statement-I
B. Both Statement-I and Statement-II are correct and Statement-II is not the correct explanation for Statement-I
C. Statement-I is correct but Statement-II is incorrect
D. Statement-I is incorrect but Statement-II is correct",C,Science & Technology,Science & Technology -> Nuclear Energy & Uranium Enrichment,2023
"Consider the following statements :

 Statement-I: Marsupials are not naturally found in India.

 Statement-II: Marsupials can thrive only in montane grasslands with no predators.

 Which one of the following is correct in respect of the above statements?","A. Both Statement-I and Statement-II are correct and Statement-II is the correct explanation for Statement-I
B. Both Statement-I and Statement-II are correct and Statement-II is not the correct explanation for Statement-I
C. Statement-I is correct but Statement-II is incorrect
D. Statement-I is incorrect but Statement-II is correct",C,Environment & Ecology,Environment & Ecology -> Mammalian Biology & Marsupials,2023
Invasive Species Specialist Group' (that develops Global Invasive Species Database) belongs to which one of the following organizations?,"A. The International Union Conservation of Nature
B. The United Nations Environment Programme
C. The United Nations World Commission for Environment and Development
D. The World Wide Fund for Nature",A,Environment & Ecology,Environment & Ecology -> Global Environmental Bodies & ISSG / IUCN,2023
"Consider the following fauna:

 Lion-tailed Macaque Malabar Civet Sambar Deer

 How many of the above are generally nocturnal or most active after sunset?","A. Only one
B. Only two
C. All three
D. None",B,Environment & Ecology,Environment & Ecology -> Wildlife Species & Nocturnal Behavior,2023
Which of the following organisms perform waggle dance for others of their kin to indicate the direction and the distance to a source of their food?,"A. Butterflies
B. Dragonflies
C. Honeybees
D. Wasps",C,Environment & Ecology,Environment & Ecology -> Animal Behavior & Waggle Dance (Honeybees),2023
"Consider the following statements:

 Some mushrooms have medicinal properties. Some mushrooms have psycho active properties. Some mushrooms have insecticidal properties. Some mushrooms have bioluminescent properties.

 How many of the above statements are correct?","A. Only one
B. Only two
C. Only three
D. All four",D,Science & Technology,Science & Technology -> Microbiology & Fungal Properties (Mushrooms),2023
"Consider the following statements regarding the Indian squirrels :

 They build nests by making burrows in the ground. They store their food materials like nuts and seeds in the ground. They are omnivorous.

 How many of the above statements are correct?","A. Only one
B. Only two
C. All three
D. None",C,Environment & Ecology,Environment & Ecology -> Indian Fauna & Squirrel Ecology,2023
"Consider the following statements

 Some microorganisms can grow in environments with temperature above the boiling point of water. Some microorganisms can grow in environments with temperature below the freezing point of water. Some microorganisms can grow in highly acidic environment with a pH below 3.

 How many of the above statements are correct?","A. Only one
B. Only two
C. All three
D. None",C,Science & Technology,Science & Technology -> Extremophiles & Microbial Habitats,2023
Which one of the following makes a tool with a stick to scrape insects from a hole in a tree or a log of wood?,"A. Fishing cat
B. Orangutan
C. Otter
D. Sloth bear",B,Environment & Ecology,Environment & Ecology -> Animal Cognition & Tool Use (Orangutans),2023
"Consider the following:

 Aerosols Foam agents Fire retardants Lubricants

 In the making of how many of the above are hydrofluorocarbons used?","A. Only one
B. Only two
C. Only three
D. All four",C,Environment & Ecology,Environment & Ecology -> Ozone Depleting Substances & Hydrofluorocarbons (HFCs),2023
"Consider the following statements:

 Statement-1:

 Interest income from the deposits in Infrastructure Investment Trusts (InvITs) distributed to their investors is exempted from tax, but the dividend is taxable.

 Statement-II :

 InvITs are recognized as borrowers under the 'Securitization and Recon- struction of Financial Assets and Enforcement of Security Interest Act, 2002'.

 Which one of the following is correct in respect of the above statements?","A. Both Statement-I and Statement-II are correct and Statement-II is the correct explanation for Statement-I
B. Both Statement-I and Statement-II are correct and Statement-II is not the correct explanation for Statement-I
C. Statement-I is correct but Statement-II is incorrect
D. Statement-I is incorrect but Statement-II is correct",D,Economy,Economy -> Real Estate & Infrastructure Investment Trusts (InvITs),2023
"Consider the following statements :

 Statement-1 :

 In the post-pandemic recent past, many Central Banks worldwide had carried out interest rate hikes.

 Statement-II:

 Central Banks generally assume that they have the ability to counteract the rising consumer prices via monetary policy means.

 Which one of the following is correct in respect of the above statements?","A. Both Statement-I and Statement-II are correct and Statement-II is the correct explanation for Statement-I
B. Both Statement-I and Statement-II are correct and Statement-II is not the correct explanation for Statement-I
C. Statement-I is correct but Statement-II is incorrect
D. Statement-I is incorrect but Statement-II is correct",A,Economy,Economy -> Monetary Policy & Global Central Bank Interest Rate Cycles,2023
"Consider the following statements:

 Statement-1:

 Carbon markets are likely to be one of the most widespread tools in the fight against climate change.

 Statement-Il

 Carbon markets transfer resources from the private sector to the State.

 Which one of the following is correct in respect of the above statements?","A. Both Statement-I and Statement-II are correct and Statement-II is the correct explanation for Statement-1
B. Both Statement-I and Statement-11 are correct and Statement-11 is not the correct explanation for Statement-I
C. Statement-I is correct but Statement-II is incorrect
D. Statement-I is incorrect but Statement-II is correct",B,Economy,Economy -> Carbon Finance & Carbon Credit Trading Schemes,2023
Which one of the following activities of the Reserve Bank of India is considered to be part of 'sterilization?,"A. Conducting 'Open Market Operations'
B. Oversight of settlement and payment systems
C. Debt and cash management for the Central and State Governments
D. Regulating the functions of Non-banking Financial Institutions",A,Economy,Economy -> Central Banking Operations & Sterilization / OMOs,2023
"Consider the following markets :

 Government Bond Market Call Money Market Treasury Bill Market Stock Market

 How many of the above are included/ in capital markets?","A. Only one
B. Only two
C. Only three
D. All four",B,Economy,"Economy -> Capital Markets & Money Markets (Call Money, T-Bills)",2023
Which one of the following best describes the concept of 'Small Farmer Large Field'?,"A. Resettlement of a large number of people, uprooted from their countries due to war, by giving them large cultivable land which they cultivate collectively and share the produce
B. Many marginal farmers in an area organize themselves into groups and synchronize and harmonize selected agricultural operations
C. Many marginal farmers in an area together make a contract with a corporate body and surrender their land to the corporate body for a fixed term for which the corporate body makes a payment of agreed amount to the farmers
D. A company extends loans, technical knowledge and material inputs to a number of small farmers in an area so that they produce the agricultural commodity required by the company manufacturing for its process and commercial production",B,Economy,Economy -> Agricultural Schemes & Small Farmer Large Field (SFLF) Model,2023
"Consider the following statements :

 The Government of India provides Minimum Support Price for niger (Guizotia abyssinica) seeds. Niger is cultivated as a Kharif crop. Some tribal people in India use niger seed oil for cooking.

 How many of the above statements are correct?","A. Only one
B. Only two
C. All three
D. None",C,Economy,Economy -> Minimum Support Price (MSP) & Government Procurement (Niger Seeds),2023
"Consider the investments in the following assets:

 Brand recognition Inventory Intellectual property Mailing list of clients

 How many of the above are considered intangible investments?","A. Only one
B. Only two
C. Only three
D. All four",C,Economy,Economy -> Intangible Assets & Intellectual Property / Brand Capital,2023
"Consider the following:

 Demographic performance Forest and ecology Governance reforms Stable government Tax and fiscal efforts

 For the horizontal tax devolution, the Fifteenth Finance Commission used how many of the above as criteria other than population area and income distance?","A. Only two
B. Only three
C. Only four
D. All five",B,Indian Polity,Indian Polity -> Constitutional Governance & 15th Finance Commission Devolution,2023
"Consider the following infrastructure sectors:

 Affordable housing Mass rapid transport Health care Renewable energy

 On how many of the above does UNOPS Sustainable Investments in Infrastructure and Innovation (S3) initiative focus for its investments?","A. Only one
B. Only two
C. Only three
D. All four",C,Economy,Economy -> Infrastructure Schemes & PM GatiShakti National Master Plan,2023
"In essence, what does 'Due Process of Law' mean?","A. The principle of natural justice.
B. The procedure established by law
C. Fair application of law
D. Equality before law",C,Indian Polity,Indian Polity -> Constitutional Concepts & Due Process of Law,2023
"Consider the following statements:

 Statement-1:

 In India, prisons are managed by State Governments with their own rules and regulations for the day-to-day administration of prisons.

 Statement-II:

 In India, prisons are governed by the Prisons Act, 1894 which expressly kept the subject of prisons in the control of Provincial Governments.

 Which one of the following is correct in respect of the above statements?","A. Both Statement-1 and Statement-11 are correct and Statement-II is the correct explanation for Statement-l
B. Both Statement-I and Statement-II are correct and Statement-11 is not the correct explanation for Statement-I
C. Statement-I is correct but Statement-II is incorrect
D. Statement-I is incorrect but Statement-II is correct",A,Indian Polity,Indian Polity -> Prison Administration & Prisons Act 1894,2023
Which one of the following statements best reflects the Chief purpose of the 'Constitution' of a country?,"A. It determines the objective for the making of necessary laws.
B. It enables the creation of political offices and a government.
C. It defines and limits the powers of government.
D. It secures social justice, social equality and social security",C,Indian Polity,Indian Polity -> Constitutional Theory & Purpose of the Constitution,2023
"In India, which one of the following Constitutional Amendments was widely believed to be enacted to overcome the judicial interpretations of the Fundamental Rights?","A. 1st Amendment.
B. 42nd Amendment
C. 44th Amendment
D. 86th Amendment",A,Indian Polity,Indian Polity -> Constitutional Amendments & Judicial Review (1st Amendment),2023
"Consider the following organizations/ bodies in India :

 The National Commission for Backward Classes The National Human Rights Commission The National Law Commission. The National Consumer Disputes Redressal Commission

 How many of the above are constitutional bodies?","A. Only one
B. Only two
C. Only three
D. All four",A,Indian Polity,"Indian Polity -> Constitutional vs Statutory Bodies (NCBC, NHRC, NCDRC)",2023
"Consider the following statements:

 If the election of the President of India is declared void by the Supreme Court of India, all acts done by him/her in the performance of duties of his/her office of President before the date of decision become invalid. Election for the post of the President of India can be postponed on the ground that some Legislative Assemblies have been dissolved and elections are yet to take place. When a Bill is presented to the President of India, the Constitution prescribes time limits within which he/she has to declare his/her assent.

 How many of the above statements are correct?","A. Only one
B. Only two
C. All three
D. None",D,Indian Polity,Indian Polity -> Presidential Elections & Disputes / Powers,2023
"With reference to Finance Bill and Money Bill in the Indian Parliament, consider the following statements:

 When the Lok Sabha transmits Finance Bill to the Rajya Sabha, it can amend or reject the Bill. When the Lok Sabha transmits Money Bill to the Rajya Sabha, it cannot amend or reject the Bill, it can only make recommendations. In the case of disagreement between the Lok Sabha and the Rajya Sabha, there is no joint sitting for Money Bill, but a joint sitting becomes necessary for Finance Bill.

 How many of the above statements are correct?","A. Only one
B. Only two
C. All three
D. None",A,Indian Polity,Indian Polity -> Parliamentary Procedures & Finance Bills vs Money Bills,2023
